Series Name,Series Code,Country Name,Country Code,1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Austria,AUT,33.2353314760951,31.5398774973036,32.2361907844691,33.6141166614543,34.3260231891299,37.1095049388858,38.4525486345965,39.4406688915399,43.4297068820952,44.6928354068558,45.3092484776471,44.5803390773207,46.9163042656422,48.6307793094521,50.8316258753068,52.4851502713453,53.1549284745586,44.8958615926937,51.0036062485681,53.6718626571573,53.7968041822803,53.1923388048021,53.0161619720015,53.0602062913119,52.2384621704147
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belgium,BEL,58.1956405828006,55.5226206194562,57.8156733053286,59.4874678663239,60.4430819386687,63.8968177050834,63.3971597935946,63.898602114435,71.857548930765,71.0205125889807,70.3146529002236,68.5961144506912,70.3700231996813,73.5213383801901,75.711285671428,77.4908402062005,79.695875910141,69.309681433335,76.4484348166672,81.6357430375673,82.3058064516129,81.8063926521005,83.2037165946851,82.9488088883039,84.4598456871381
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Croatia,HRV,..,..,..,27.6117636058627,30.7297538738016,31.3188763410016,29.4857591356518,30.4572813233422,36.5050424887871,38.6624233216242,37.6714812661546,38.8901120677894,39.4543555200511,39.2955353805271,39.6632445331218,39.0005041788392,38.4772468778951,34.5233084379366,37.7374427782657,40.4055155102348,41.5743777557948,43.0297072624851,46.4266560045962,49.9748944174705,51.4024298670729
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Denmark,DNK,36.9543690561573,36.566228596416,36.851923816504,36.6660138178822,37.1188503194782,37.8117122941658,37.2337662775677,39.3935342213301,44.8894877731153,45.5953441640917,45.7441867555952,43.8774011641544,43.9656414570774,47.4521180541544,50.7300298408094,51.482564575911,54.1758119757753,47.1260516693445,50.5229368842239,53.820117886958,54.6304964321937,54.8288133195348,54.5178542980041,55.2270134093276,53.0990339992663
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Finland,FIN,25.5232640362042,31.3663292438308,34.0285122510136,35.7624091886846,36.3276504017245,37.8009355415485,37.4673954577927,37.6023258195914,42.0868773897153,39.7128159682076,39.0858391384391,37.2661955940859,38.5891959085546,40.2556163200253,43.1708899625755,43.9968057282511,45.0779769863353,36.2709842069503,38.6777124532336,39.1595426400297,39.4813632109233,38.8141911497113,37.2222276297731,36.8410250535771,35.3528417000682
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,France,FRA,21.1492196358154,20.6101685469573,21.4618850334431,22.4059097102208,22.8224313912387,25.2426833387319,25.7957897401779,25.7198938472147,28.1734433984177,27.7941822923174,27.0397720822025,25.6108628235084,25.9090111997007,26.3688375363577,27.1758467614219,27.1283927901443,27.3862264198211,24.0716301094833,26.0432298330582,27.8034986917783,28.5218136314173,28.6080739163487,28.8441238605351,29.8472867408031,29.4306453935807
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Germany,DEU,22.2637024278602,20.3544079380058,21.1350113916374,22.0064459049545,22.9086029320154,25.3919749477655,26.4533774644119,27.0412324202859,30.8295377230118,31.8706791751726,32.5740396235895,32.591483189795,35.4484237785274,37.7404535695349,41.1903478533375,43.0099115480875,43.4598749287594,37.8022013754532,42.2503740223096,44.8181730740774,45.982539717068,45.4577105978261,45.6520162931397,46.781180551434,45.9909000118057
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Greece,GRC,14.8788393387365,14.0477673647043,14.4456091463048,14.4252834909638,14.2869572693077,16.2222652425479,16.2965833756753,19.2560788540331,23.7183809141659,22.788744320873,20.1128544460134,18.5445830443658,20.7081145744875,21.3122304275532,21.1740087896788,22.5202697630197,23.3615691198983,18.9821866963597,22.1022051218367,25.5354159285239,28.6839940157939,30.3534285061372,32.5038049709655,31.9150025494538,30.1536057391187
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Hungary,HUN,27.6641543100739,23.2333057666215,25.4462309675026,39.2586911547095,41.9551632075798,47.9871626140752,52.9663924891672,55.6265861478888,66.8203226791275,64.8850432822511,58.1054549829476,56.4322095503002,59.7487160875643,62.797384801842,74.3006361688405,78.3093952437327,79.6460886999006,74.7702967881402,82.2484650685412,87.1725795339542,86.7688399770025,85.9997173996291,88.6552740438099,90.7267040583415,92.5076100316868
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ireland,IRL,58.3477511368477,63.3043531300078,67.8928779253371,73.4473323077844,74.8337802677288,77.1619295423364,84.487894531759,86.7178279304938,94.488441742865,95.3370022228852,90.4802405428138,80.8512342067938,80.5365239043053,79.5703530877309,78.9736237396232,80.745002051006,84.1508450069216,93.454446983828,103.392991909973,102.445751640331,106.775604008862,106.089437019527,113.786739762701,123.994644881764,119.930507212036
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Italy,ITA,17.5337296449926,20.4627466405788,21.9393320356716,24.7494742686799,23.7629234935363,24.2002797356775,24.1226896694636,23.2504895551058,25.6577873429734,25.731748874718,24.4721818586864,23.3607370038917,24.0628990938127,24.6516620793843,26.2279689623036,27.4271991136572,26.9645411668669,22.4765953588626,25.1882092098956,27.0063472819143,28.5863671519443,28.8625898508378,29.3065161364393,30.0183815959838,29.9845232740559
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Netherlands,NLD,53.7398310944456,52.9706370074564,55.1086777011827,57.6109374471708,57.6456752032473,60.6815522754486,59.7344053016195,60.2403829928791,66.4929552002964,63.8234849883364,60.7507366011393,59.709357748914,63.5358314612961,66.6165697413349,69.2789514029406,70.2736107487608,71.6426013395644,63.1544515335039,71.9539771215749,77.3564421576877,81.9362208678724,82.0102091465619,82.5653687436652,82.463331318151,80.809217200888
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Poland,POL,21.4475537524666,20.7578296727106,21.3952316361496,22.9605173449227,22.0946519426189,23.3593652679692,25.9820251489517,24.1244818331558,27.2289540474839,27.2298471104843,28.7582175059245,33.3912971522466,34.2648184150678,34.6096996571318,37.8639851040919,38.564590078351,37.8569890106985,37.1844501708196,40.0551582131562,42.5634711991795,44.4444921786777,46.3213148869959,47.589003689007,49.522847785359,52.2819879957065
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Switzerland,CHE,40.9144679272064,41.4586229253484,41.1318639689828,40.783278703161,41.7987668962115,47.2271897158003,46.7114268468325,47.4170340056582,52.1924505738383,50.8888145582282,48.9828808337046,48.2312389144967,51.5524310088004,53.9426734801701,56.718092377735,61.6253437675376,62.9807203053916,57.4401453129545,64.249005431889,65.7753998090835,67.3384907353749,72.3060311621127,64.8627027221683,62.9030203323159,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sweden,SWE,26.7234513004522,31.3074655581468,34.4905192690118,38.0028902685444,36.8333743093386,40.0517317969297,41.0272899529805,41.0378425044708,44.0979466113921,43.7539596389213,42.090046367996,41.2443052072759,43.4469175060559,45.8732551132439,48.1899956793643,48.2580656119268,49.8130977131591,44.452303460322,46.1851923611233,46.6828949588645,46.3231382978723,43.8006859051505,45.0331484134484,45.5901229890773,44.3968425498769
