"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","1995","1995","PC","Percentage","0","Units",,,4.15948239523802,,
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","1996","1996","PC","Percentage","0","Units",,,3.86439033139548,,
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","1997","1997","PC","Percentage","0","Units",,,5.12756636058555,,
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","1998","1998","PC","Percentage","0","Units",,,5.11696588240037,,
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","1999","1999","PC","Percentage","0","Units",,,5.16241423658335,,
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2000","2000","PC","Percentage","0","Units",,,7.53918971656119,,
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2001","2001","PC","Percentage","0","Units",,,8.0594813529108,,
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2002","2002","PC","Percentage","0","Units",,,8.22249499143476,,
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2003","2003","PC","Percentage","0","Units",,,4.64415591718963,,
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2004","2004","PC","Percentage","0","Units",,,5.76413907909174,,
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2005","2005","PC","Percentage","0","Units",,,3.04701746087107,,
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2006","2006","PC","Percentage","0","Units",,,3.80019345091644,,
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2007","2007","PC","Percentage","0","Units",,,3.84649920815526,,
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2008","2008","PC","Percentage","0","Units",,,2.24662633041299,,
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2009","2009","PC","Percentage","0","Units",,,1.91217501351458,,
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2010","2010","PC","Percentage","0","Units",,,1.22832249780865,,
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2011","2011","PC","Percentage","0","Units",,,-1.76711579527161,,
