"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","EPRC_V1","Version 1 (1985-2013)","1991","1991","IDX","Index","0","Units",,,2.75,,
"AUT","Austria","EPRC_V1","Version 1 (1985-2013)","1992","1992","IDX","Index","0","Units",,,2.75,,
"AUT","Austria","EPRC_V1","Version 1 (1985-2013)","1993","1993","IDX","Index","0","Units",,,2.75,,
"AUT","Austria","EPRC_V1","Version 1 (1985-2013)","1994","1994","IDX","Index","0","Units",,,2.75,,
"AUT","Austria","EPRC_V1","Version 1 (1985-2013)","1995","1995","IDX","Index","0","Units",,,2.75,,
"AUT","Austria","EPRC_V1","Version 1 (1985-2013)","1996","1996","IDX","Index","0","Units",,,2.75,,
"AUT","Austria","EPRC_V1","Version 1 (1985-2013)","1997","1997","IDX","Index","0","Units",,,2.75,,
"AUT","Austria","EPRC_V1","Version 1 (1985-2013)","1998","1998","IDX","Index","0","Units",,,2.75,,
"AUT","Austria","EPRC_V1","Version 1 (1985-2013)","1999","1999","IDX","Index","0","Units",,,2.75,,
"AUT","Austria","EPRC_V1","Version 1 (1985-2013)","2000","2000","IDX","Index","0","Units",,,2.75,,
"AUT","Austria","EPRC_V1","Version 1 (1985-2013)","2001","2001","IDX","Index","0","Units",,,2.75,,
"AUT","Austria","EPRC_V1","Version 1 (1985-2013)","2002","2002","IDX","Index","0","Units",,,2.75,,
"AUT","Austria","EPRC_V1","Version 1 (1985-2013)","2003","2003","IDX","Index","0","Units",,,2.3690476,,
"AUT","Austria","EPRC_V1","Version 1 (1985-2013)","2004","2004","IDX","Index","0","Units",,,2.3690476,,
"AUT","Austria","EPRC_V1","Version 1 (1985-2013)","2005","2005","IDX","Index","0","Units",,,2.3690476,,
"AUT","Austria","EPRC_V1","Version 1 (1985-2013)","2006","2006","IDX","Index","0","Units",,,2.3690476,,
"AUT","Austria","EPRC_V1","Version 1 (1985-2013)","2007","2007","IDX","Index","0","Units",,,2.3690476,,
"AUT","Austria","EPRC_V1","Version 1 (1985-2013)","2008","2008","IDX","Index","0","Units",,,2.3690476,,
"AUT","Austria","EPRC_V1","Version 1 (1985-2013)","2009","2009","IDX","Index","0","Units",,,2.3690476,,
"AUT","Austria","EPRC_V1","Version 1 (1985-2013)","2010","2010","IDX","Index","0","Units",,,2.3690476,,
"AUT","Austria","EPRC_V1","Version 1 (1985-2013)","2011","2011","IDX","Index","0","Units",,,2.3690476,,
"AUT","Austria","EPRC_V1","Version 1 (1985-2013)","2012","2012","IDX","Index","0","Units",,,2.3690476,,
"AUT","Austria","EPRC_V1","Version 1 (1985-2013)","2013","2013","IDX","Index","0","Units",,,2.3690476,,
"BEL","Belgium","EPRC_V1","Version 1 (1985-2013)","1991","1991","IDX","Index","0","Units",,,1.8452381,,
"BEL","Belgium","EPRC_V1","Version 1 (1985-2013)","1992","1992","IDX","Index","0","Units",,,1.8452381,,
"BEL","Belgium","EPRC_V1","Version 1 (1985-2013)","1993","1993","IDX","Index","0","Units",,,1.8452381,,
"BEL","Belgium","EPRC_V1","Version 1 (1985-2013)","1994","1994","IDX","Index","0","Units",,,1.8452381,,
"BEL","Belgium","EPRC_V1","Version 1 (1985-2013)","1995","1995","IDX","Index","0","Units",,,1.8452381,,
"BEL","Belgium","EPRC_V1","Version 1 (1985-2013)","1996","1996","IDX","Index","0","Units",,,1.8452381,,
