"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1991","1991","PC","Percentage","0","Units",,,3.441627,"E","Estimated value"
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1992","1992","PC","Percentage","0","Units",,,2.093525,"E","Estimated value"
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1993","1993","PC","Percentage","0","Units",,,0.526809,"E","Estimated value"
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1994","1994","PC","Percentage","0","Units",,,2.402119,"E","Estimated value"
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1995","1995","PC","Percentage","0","Units",,,2.667984,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1996","1996","PC","Percentage","0","Units",,,2.398314,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1997","1997","PC","Percentage","0","Units",,,2.20502,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1998","1998","PC","Percentage","0","Units",,,3.559967,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1999","1999","PC","Percentage","0","Units",,,3.589988,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2000","2000","PC","Percentage","0","Units",,,3.368408,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2001","2001","PC","Percentage","0","Units",,,1.350516,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2002","2002","PC","Percentage","0","Units",,,1.655855,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2003","2003","PC","Percentage","0","Units",,,0.756157,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2004","2004","PC","Percentage","0","Units",,,2.705743,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2005","2005","PC","Percentage","0","Units",,,2.140683,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2006","2006","PC","Percentage","0","Units",,,3.350831,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2007","2007","PC","Percentage","0","Units",,,3.62151,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2008","2008","PC","Percentage","0","Units",,,1.547264,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2009","2009","PC","Percentage","0","Units",,,-3.799075,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2010","2010","PC","Percentage","0","Units",,,1.928673,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2011","2011","PC","Percentage","0","Units",,,2.808,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2012","2012","PC","Percentage","0","Units",,,0.745756,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2013","2013","PC","Percentage","0","Units",,,0.124224,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,0.644845,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2015","2015","PC","Percentage","0","Units",,,0.963058,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2016","2016","PC","Percentage","0","Units",,,1.480731,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1991","1991","PC","Percentage","0","Units",,,1.833074,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1992","1992","PC","Percentage","0","Units",,,1.530655,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1993","1993","PC","Percentage","0","Units",,,-0.961873,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1994","1994","PC","Percentage","0","Units",,,3.226971,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1995","1995","PC","Percentage","0","Units",,,2.384757,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1996","1996","PC","Percentage","0","Units",,,1.593571,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1997","1997","PC","Percentage","0","Units",,,3.710197,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1998","1998","PC","Percentage","0","Units",,,1.975512,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1999","1999","PC","Percentage","0","Units",,,3.563094,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2000","2000","PC","Percentage","0","Units",,,3.633841,,
