"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","1991","1991","PC","Percentage","0","Units",,,3.3374261001366,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","1992","1992","PC","Percentage","0","Units",,,4.02084684152512,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","1993","1993","PC","Percentage","0","Units",,,3.63178554402615,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","1994","1994","PC","Percentage","0","Units",,,2.95340652383275,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","1995","1995","PC","Percentage","0","Units",,,2.24336375412049,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","1996","1996","PC","Percentage","0","Units",,,1.86097410872889,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","1997","1997","PC","Percentage","0","Units",,,1.30598330374072,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","1998","1998","PC","Percentage","0","Units",,,0.922466865804067,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","1999","1999","PC","Percentage","0","Units",,,0.568986519284504,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","2000","2000","PC","Percentage","0","Units",,,2.34486839687016,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","2001","2001","PC","Percentage","0","Units",,,2.65,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","2002","2002","PC","Percentage","0","Units",,,1.8103588244845,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","2003","2003","PC","Percentage","0","Units",,,1.35555378358984,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","2004","2004","PC","Percentage","0","Units",,,2.061206828731,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","2005","2005","PC","Percentage","0","Units",,,2.29913772525071,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","2006","2006","PC","Percentage","0","Units",,,1.44154653778853,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","2007","2007","PC","Percentage","0","Units",,,2.16855593888616,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","2008","2008","PC","Percentage","0","Units",,,3.215951117543,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","2009","2009","PC","Percentage","0","Units",,,0.506309393986598,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","2010","2010","PC","Percentage","0","Units",,,1.81353173680542,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","2011","2011","PC","Percentage","0","Units",,,3.28658305428621,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","2012","2012","PC","Percentage","0","Units",,,2.4856750867565,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","2013","2013","PC","Percentage","0","Units",,,2.000157492716,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,1.60580560487916,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.896565286860055,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.891592367302749,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","A","Annual","1991","1991","PC","Percentage","0","Units",,,3.21531063739934,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","A","Annual","1992","1992","PC","Percentage","0","Units",,,2.42795636931716,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","A","Annual","1993","1993","PC","Percentage","0","Units",,,2.75442578302316,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","A","Annual","1994","1994","PC","Percentage","0","Units",,,2.3775445292621,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","A","Annual","1995","1995","PC","Percentage","0","Units",,,1.46796116504853,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","A","Annual","1996","1996","PC","Percentage","0","Units",,,2.07702462348191,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","A","Annual","1997","1997","PC","Percentage","0","Units",,,1.62816049512957,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","A","Annual","1998","1998","PC","Percentage","0","Units",,,0.949250288350638,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","A","Annual","1999","1999","PC","Percentage","0","Units",,,1.12084823417845,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","A","Annual","2000","2000","PC","Percentage","0","Units",,,2.54451776190907,,
