"COUNTRY","Country","SEX","Sex","AGE","Age","SERIES","Series","FREQ","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1994","1994","PC","Percentage","0","Units",,,59.0628798476275,,
"AUT","Austria","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1995","1995","PC","Percentage","0","Units",,,59.2356531388096,,
"AUT","Austria","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1996","1996","PC","Percentage","0","Units",,,58.5665779843048,,
"AUT","Austria","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1997","1997","PC","Percentage","0","Units",,,58.5444571027847,,
"AUT","Austria","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1998","1998","PC","Percentage","0","Units",,,58.4568501588537,,
"AUT","Austria","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1999","1999","PC","Percentage","0","Units",,,58.6174573512105,,
"AUT","Austria","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2000","2000","PC","Percentage","0","Units",,,58.4628178539935,,
"AUT","Austria","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2001","2001","PC","Percentage","0","Units",,,58.541876759244,,
"AUT","Austria","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2002","2002","PC","Percentage","0","Units",,,59.1259955086861,,
"AUT","Austria","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2003","2003","PC","Percentage","0","Units",,,59.4507912968225,,
"AUT","Austria","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2004","2004","PC","Percentage","0","Units",,,57.9300641998479,,
"AUT","Austria","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2005","2005","PC","Percentage","0","Units",,,58.5583488050481,,
"AUT","Austria","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2006","2006","PC","Percentage","0","Units",,,59.0823914195902,,
"AUT","Austria","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2007","2007","PC","Percentage","0","Units",,,59.9362359117113,,
"AUT","Austria","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2008","2008","PC","Percentage","0","Units",,,60.1730675273341,,
"AUT","Austria","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2009","2009","PC","Percentage","0","Units",,,60.4449319889058,,
"AUT","Austria","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2010","2010","PC","Percentage","0","Units",,,60.3960246789463,,
"AUT","Austria","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2011","2011","PC","Percentage","0","Units",,,60.4891876766856,,
"AUT","Austria","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2012","2012","PC","Percentage","0","Units",,,60.7628119330701,,
"AUT","Austria","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2013","2013","PC","Percentage","0","Units",,,60.9201699989558,,
"AUT","Austria","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2014","2014","PC","Percentage","0","Units",,,60.6940792504219,,
"AUT","Austria","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2015","2015","PC","Percentage","0","Units",,,60.7226902298744,,
"AUT","Austria","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2016","2016","PC","Percentage","0","Units",,,61.2069497611627,,
"BEL","Belgium","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1991","1991","PC","Percentage","0","Units",,,49.2747872294908,,
"BEL","Belgium","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1992","1992","PC","Percentage","0","Units",,,49.6329177942638,,
"BEL","Belgium","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1993","1993","PC","Percentage","0","Units",,,49.7345873866319,,
"BEL","Belgium","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1994","1994","PC","Percentage","0","Units",,,50.3309389395304,,
"BEL","Belgium","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1995","1995","PC","Percentage","0","Units",,,50.535505782884,,
"BEL","Belgium","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1996","1996","PC","Percentage","0","Units",,,50.4081481153261,,
"BEL","Belgium","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1997","1997","PC","Percentage","0","Units",,,50.5235675075199,,
"BEL","Belgium","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1998","1998","PC","Percentage","0","Units",,,50.8522393157308,,
"BEL","Belgium","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1999","1999","PC","Percentage","0","Units",,,51.9107568619328,,
"BEL","Belgium","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2000","2000","PC","Percentage","0","Units",,,52.1815242577481,,
