Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.2021636962891,..,73.5906066894531,72.4694595336914,75.810188293457,76.5560989379883,76.4276962280273,76.9751129150391,77.3063583374023,78.1098403930664,79.0129013061523,..
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,57.7329292297363,..,60.4241600036621,61.6929016113281,61.7283782958984,62.7599296569824,63.2111015319824,64.278678894043,64.0188674926758,66.210578918457,..
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,Canada,CAN,..,49.3545188903809,..,..,..,..,..,..,..,..,..,74.5815200805664,..,..,..,..,79.4033889770508,..,..,..,..,82.7489929199219,..,..,..,..,..
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,Croatia,HRV,..,..,..,..,..,..,..,..,..,..,..,59.601978302002,..,..,..,..,..,..,..,..,..,70.7059707641602,..,..,..,..,..
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,Cyprus,CYP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,57.1389083862305,58.6673393249512,61.2007484436035,63.5253410339355,64.4992599487305,63.822208404541,65.4537200927734,67.7841033935547,68.9212112426758,69.8925476074219,69.4995498657227,69.050651550293,..
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,Denmark,DNK,..,57.836181640625,..,..,58.1618881225586,60.042179107666,..,..,..,..,..,..,..,84.2631683349609,82.2784805297852,..,..,76.2814102172852,78.7898864746094,74.9776077270508,74.9399795532227,75.4767608642578,76.0023803710938,76.549072265625,76.8349990844727,77.749137878418,..
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,Czech Republic,CZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,85.4778289794922,85.7760925292969,86.137077331543,87.2494125366211,87.9936599731445,88.3989562988281,88.5255432128906,89.1595687866211,89.6333618164063,89.7707138061523,..
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,France,FRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55.6975784301758,56.5906105041504,..,59.4229507446289,60.3495597839355,61.2569885253906,61.8969383239746,62.7715682983398,63.7497215270996,66.3351593017578,68.5302200317383,69.4374313354492,..
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,Finland,FIN,..,..,..,..,..,..,..,..,..,..,..,..,..,64.3962936401367,..,66.1979904174805,67.1308517456055,67.9684066772461,68.7850875854492,69.6325378417969,70.4480590820313,71.2015533447266,71.953727722168,72.8120803833008,73.5687713623047,..,..
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,Estonia,EST,..,..,..,..,..,..,..,..,..,..,71.4596633911133,..,..,..,..,..,..,85.6972579956055,85.3210983276367,85.6847915649414,86.4620971679688,86.5545501708984,87.2545623779297,88.4096374511719,89.6790618896484,89.6915130615234,..
