"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","1993","1993","PC","Percentage","0","Units",,,3.95833333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","1994","1994","PC","Percentage","0","Units",,,4.24166666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","1995","1995","PC","Percentage","0","Units",,,4.24166666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","1996","1996","PC","Percentage","0","Units",,,4.73333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","1997","1997","PC","Percentage","0","Units",,,4.73333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","1998","1998","PC","Percentage","0","Units",,,4.725,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","1999","1999","PC","Percentage","0","Units",,,4.15,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","2000","2000","PC","Percentage","0","Units",,,3.93333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","2001","2001","PC","Percentage","0","Units",,,3.98333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","2002","2002","PC","Percentage","0","Units",,,4.38333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","2003","2003","PC","Percentage","0","Units",,,4.75833333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","2004","2004","PC","Percentage","0","Units",,,5.50833333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","2005","2005","PC","Percentage","0","Units",,,5.63333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","2006","2006","PC","Percentage","0","Units",,,5.25,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","2007","2007","PC","Percentage","0","Units",,,4.86666666666667,,
