"TIME,""GEO"",""SPDEP"",""SPSCHEME"",""UNIT"",""Value"",""Flag and Footnotes"""
"1991,""Belgien"",""Sozialschutzleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Belgien"",""Sozialleistungen ohne Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Belgien"",""Sozialleistungen mit Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Belgien"",""Barleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Belgien"",""Barleistungen (ohne Bedürftigkeitsprüfung)"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Bulgarien"",""Sozialschutzleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Bulgarien"",""Sozialleistungen ohne Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Bulgarien"",""Sozialleistungen mit Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Bulgarien"",""Barleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Bulgarien"",""Barleistungen (ohne Bedürftigkeitsprüfung)"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Tschechische Republik"",""Sozialschutzleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Tschechische Republik"",""Sozialleistungen ohne Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Tschechische Republik"",""Sozialleistungen mit Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Tschechische Republik"",""Barleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Tschechische Republik"",""Barleistungen (ohne Bedürftigkeitsprüfung)"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Dänemark"",""Sozialschutzleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Dänemark"",""Sozialleistungen ohne Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Dänemark"",""Sozialleistungen mit Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Dänemark"",""Barleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Dänemark"",""Barleistungen (ohne Bedürftigkeitsprüfung)"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Deutschland (bis 1990 früheres Gebiet der BRD)"",""Sozialschutzleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Deutschland (bis 1990 früheres Gebiet der BRD)"",""Sozialleistungen ohne Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
